Date,City,PM2.5,PM10,CO,NO2,Ozone,Temperature,AQI_Level
2024-01-01,Beijing,87.31,433.88,9.53,127.96,161.12,42.76,Moderate
2024-01-01,London,87.31,384.39,3.14,59.79,118.5,31.54,Moderate
2024-01-01,Tokyo,299.67,384.39,7.27,198.59,88.41,47.26,Moderate
2024-01-01,Paris,299.67,477.13,0.19,152.41,71.05,35.51,Hazardous
2024-01-01,Mexico City,258.8,402.74,10.48,20.22,71.05,11.27,Moderate
2024-01-01,Moscow,107.62,136.92,10.21,124.41,228.65,21.68,Moderate
2024-01-02,New York,65.07,443.72,11.46,51.0,243.5,47.61,Very Unhealthy
2024-01-02,Delhi,260.48,66.63,13.42,55.04,118.2,7.14,Hazardous
2024-01-02,Beijing,190.22,410.95,2.45,7.93,105.01,38.23,Hazardous
2024-01-02,London,179.17,262.64,7.61,,14.06,19.54,Hazardous
2024-01-02,Tokyo,71.46,262.64,10.44,79.73,127.73,-2.15,Moderate
2024-01-02,Paris,294.19,33.0,12.81,155.03,219.28,11.81,Moderate
2024-01-02,Mexico City,67.07,57.27,6.24,129.16,219.28,999.0,Moderate
2024-01-02,Cairo,138.93,450.41,13.15,92.0,219.28,7.08,Very Unhealthy
2024-01-02,Moscow,98.06,73.22,0.99,104.97,128.26,3.57,Unhealthy
2024-01-03,New York,116.96,356.18,9.23,122.52,35.23,35.39,Good
2024-01-03,Delhi,41.89,24.8,13.28,74.7,186.52,15.47,Good
2024-01-03,Beijing,113.63,296.37,0.16,184.84,212.97,22.3,Good
2024-01-03,Tokyo,290.02,478.76,9.42,184.79,71.75,43.81,Good
2024-01-03,Sydney,46.14,214.1,2.21,,67.68,44.31,Good
2024-01-03,Paris,46.14,214.1,12.17,191.98,135.12,13.97,Good
2024-01-03,Cairo,103.26,139.5,8.34,164.13,59.97,37.32,Very Unhealthy
2024-01-03,Moscow,292.68,139.5,3.27,51.98,24.93,22.58,Unhealthy
2024-01-04,New York,292.68,474.41,2.24,187.46,24.93,35.18,Very Unhealthy
2024-01-04,Delhi,257.22,400.0,12.14,17.11,159.45,39.6,Very Unhealthy
2024-01-04,Beijing,257.22,198.0,7.57,115.26,159.45,48.64,Hazardous
2024-01-04,London,207.94,491.16,8.99,143.42,101.66,44.56,Hazardous
2024-01-04,Tokyo,207.94,480.86,8.71,13.49,186.68,19.82,Moderate
2024-01-04,Sydney,102.01,34.71,7.88,107.25,141.14,13.33,Moderate
2024-01-04,Paris,102.01,360.78,1.81,,98.61,42.49,Moderate
2024-01-04,Mexico City,97.07,469.18,4.53,182.77,243.25,39.42,Moderate
2024-01-04,Moscow,216.74,371.27,2.54,164.16,167.19,-2.95,Good
2024-01-05,New York,264.12,371.27,0.55,36.12,230.76,24.21,Good
2024-01-05,Beijing,218.83,414.17,5.46,,145.7,16.9,Good
2024-01-05,London,185.68,456.75,12.36,29.09,49.56,999.0,Good
2024-01-05,Tokyo,246.29,102.22,2.56,85.97,240.13,40.46,Hazardous
2024-01-05,Sydney,148.79,102.22,9.43,91.2,59.93,27.76,Good
2024-01-05,Paris,20.94,476.81,4.3,71.59,216.74,29.28,Hazardous
2024-01-05,Mexico City,20.94,195.81,2.18,177.4,216.74,-9.03,Moderate
2024-01-05,Cairo,268.81,156.52,4.03,101.19,216.74,25.0,Moderate
2024-01-05,Moscow,162.21,313.67,1.36,95.39,202.06,41.93,Moderate
2024-01-06,New York,170.13,98.76,6.71,,39.49,21.91,Very Unhealthy
2024-01-06,Delhi,278.39,244.39,9.4,93.66,68.26,999.0,Moderate
2024-01-06,Beijing,278.39,415.1,14.7,67.29,68.26,37.31,Good
2024-01-06,London,278.39,373.66,3.9,129.14,171.47,28.76,Hazardous
2024-01-06,Sydney,293.52,358.61,5.95,83.39,105.04,12.43,Very Unhealthy
2024-01-06,Mexico City,32.75,224.23,0.87,42.84,101.32,3.25,Very Unhealthy
2024-01-06,Cairo,194.52,275.55,13.78,7.14,202.7,-1.46,Very Unhealthy
2024-01-06,Moscow,150.33,399.78,0.49,,79.5,41.69,Hazardous
2024-01-07,New York,75.2,338.22,7.65,,197.7,46.3,Unhealthy
2024-01-07,Delhi,75.2,337.64,13.42,60.26,62.18,0.15,Very Unhealthy
2024-01-07,Beijing,176.61,93.38,14.01,183.35,86.06,45.48,Unhealthy
2024-01-07,London,176.61,157.2,12.7,35.67,220.06,999.0,Very Unhealthy
2024-01-07,Tokyo,162.6,15.35,12.88,24.07,220.06,999.0,Very Unhealthy
2024-01-07,Paris,167.15,492.19,1.04,108.83,20.29,27.95,Moderate
2024-01-07,Mexico City,268.18,492.19,10.44,170.52,174.65,999.0,Moderate
2024-01-07,Cairo,215.63,279.15,6.83,187.95,174.65,41.56,Good
2024-01-07,Moscow,288.03,355.81,13.64,13.76,117.57,2.47,Moderate
2024-01-08,New York,125.5,307.07,11.92,155.65,158.65,999.0,Unhealthy
2024-01-08,Delhi,125.5,163.75,0.42,60.17,71.17,-9.12,Very Unhealthy
2024-01-08,Beijing,261.8,478.93,0.21,150.96,212.59,37.75,Very Unhealthy
2024-01-08,London,279.0,342.76,14.11,63.21,213.13,1.26,Hazardous
2024-01-08,Tokyo,298.54,147.5,3.91,,40.35,1.6,Good
2024-01-08,Sydney,209.07,331.18,1.72,19.11,84.58,49.82,Very Unhealthy
2024-01-08,Paris,291.7,205.03,5.6,43.68,212.64,999.0,Very Unhealthy
2024-01-08,Mexico City,291.7,36.68,2.38,122.57,133.43,999.0,Hazardous
2024-01-08,Cairo,240.81,24.35,0.54,130.61,91.14,2.8,Very Unhealthy
2024-01-08,Moscow,240.81,303.15,7.41,32.38,178.01,37.89,Hazardous
2024-01-09,New York,249.85,56.34,3.2,32.31,84.04,0.99,Moderate
2024-01-09,Delhi,167.81,249.72,9.11,172.97,154.45,29.54,Moderate
2024-01-09,Beijing,18.73,82.91,0.56,141.87,93.52,11.59,Moderate
2024-01-09,London,39.01,417.61,12.67,75.25,206.08,13.12,Good
2024-01-09,Tokyo,39.01,369.05,4.96,153.37,236.68,2.89,Hazardous
2024-01-09,Sydney,196.42,94.77,8.05,39.24,194.6,999.0,Hazardous
2024-01-09,Paris,272.73,63.67,12.67,52.83,43.02,999.0,Good
2024-01-09,Mexico City,272.73,34.96,6.03,71.28,60.4,16.99,Moderate
2024-01-09,Cairo,279.25,14.38,14.79,64.11,60.4,30.66,Hazardous
2024-01-10,New York,201.51,221.26,0.33,108.3,183.27,9.56,Very Unhealthy
2024-01-10,Delhi,7.32,476.59,5.85,51.13,106.19,18.15,Moderate
2024-01-10,Beijing,74.53,416.61,10.53,158.4,210.79,15.91,Hazardous
2024-01-10,Tokyo,158.07,384.74,2.35,138.4,41.64,4.32,Very Unhealthy
2024-01-10,Sydney,246.46,461.14,1.45,57.05,111.96,13.01,Moderate
2024-01-10,Paris,246.46,194.11,2.9,,220.59,30.22,Unhealthy
2024-01-10,Mexico City,79.91,171.24,12.97,21.91,56.18,6.2,Good
2024-01-10,Cairo,148.17,238.13,10.02,188.5,188.82,31.64,Good
2024-01-10,Moscow,251.97,451.23,11.09,190.03,141.9,44.39,Unhealthy
2024-01-11,New York,82.7,60.21,5.23,152.3,193.89,48.84,Moderate
2024-01-11,Delhi,286.97,60.21,10.35,136.08,103.29,999.0,Moderate
2024-01-11,Tokyo,87.16,214.03,8.97,55.57,11.31,13.93,Very Unhealthy
2024-01-11,Sydney,87.16,214.03,0.78,,94.13,15.69,Very Unhealthy
2024-01-11,Paris,145.94,384.39,11.98,8.77,124.02,4.06,Unhealthy
2024-01-11,Mexico City,183.91,196.46,4.6,181.55,218.02,30.03,Unhealthy
2024-01-11,Moscow,288.63,196.46,3.37,37.04,146.93,-8.05,Moderate
2024-01-12,New York,288.63,402.92,2.45,149.77,183.89,40.36,Hazardous
2024-01-12,Delhi,11.15,39.15,0.93,97.77,230.88,-9.76,Unhealthy
2024-01-12,Beijing,164.15,39.15,11.49,186.28,39.53,36.33,Very Unhealthy
2024-01-12,London,197.1,39.15,1.16,10.65,53.17,-8.37,Moderate
2024-01-12,Tokyo,141.19,196.52,8.61,82.8,173.29,999.0,Moderate
